You didn't specify a land-sea mask. It's faster if you do,so this might take a while.
         28372578 function calls (28300302 primitive calls) in 300.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.094    0.094 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/frame.py:1(<module>)
  484/482    0.002    0.000    0.094    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
   173261    0.087    0.000    0.087    0.000 {built-in method __new__ of type object at 0x56359618dac0}
   117536    0.050    0.000    0.078    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:582(filled)
    84/83    0.000    0.000    0.075    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
    84/83    0.071    0.001    0.075    0.001 {built-in method _imp.create_dynamic}
      395    0.002    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      395    0.068    0.000    0.068    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.065    0.065 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/_libs/__init__.py:2(<module>)
    27048    0.048    0.000    0.064    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/format.py:889(_read_bytes)
      640    0.046    0.000    0.064    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/process.py:80(__init__)
        1    0.000    0.000    0.063    0.063 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/__init__.py:1(<module>)
        2    0.000    0.000    0.063    0.031 ehfheatwaves_compound_inputthres_3.py:104(period_range)
        1    0.000    0.000    0.062    0.062 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/io/api.py:1(<module>)
        1    0.000    0.000    0.062    0.062 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/generic.py:1(<module>)
        1    0.000    0.000    0.057    0.057 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/_libs/tslibs/__init__.py:2(<module>)
      640    0.019    0.000    0.057    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/process.py:61(_cleanup)
     9016    0.022    0.000    0.052    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/format.py:217(read_magic)
       59    0.001    0.000    0.050    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_compile.py:759(compile)
   411091    0.049    0.000    0.049    0.000 {method 'append' of 'list' objects}
      320    0.001    0.000    0.043    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/overrides.py:187(decorator)
        2    0.000    0.000    0.043    0.021 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/compat/_optional.py:60(import_optional_dependency)
        2    0.000    0.000    0.042    0.021 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/importlib/__init__.py:109(import_module)
        2    0.000    0.000    0.042    0.021 <frozen importlib._bootstrap>:1002(_gcd_import)
      393    0.004    0.000    0.040    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/textwrap.py:414(dedent)
357586/356829    0.039    0.000    0.039    0.000 {built-in method builtins.len}
        6    0.000    0.000    0.038    0.006 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/extension.py:58(fget)
        6    0.000    0.000    0.037    0.006 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/period.py:56(f)
        6    0.037    0.006    0.037    0.006 {pandas._libs.tslibs.period.get_period_field_arr}
1831/1722    0.003    0.000    0.037    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/typing.py:255(inner)
   117536    0.036    0.000    0.036    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/_internal.py:869(__init__)
        1    0.000    0.000    0.034    0.034 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/multiarray.py:1(<module>)
       59    0.000    0.000    0.034    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_parse.py:937(parse)
        1    0.000    0.000    0.033    0.033 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/boolean.py:1(<module>)
   246/59    0.002    0.000    0.033    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.033    0.033 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/netCDF4/__init__.py:3(<module>)
   476/65    0.012    0.000    0.032    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_parse.py:493(_parse)
   128979    0.032    0.000    0.032    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.032    0.032 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/masked.py:1(<module>)
   163388    0.029    0.000    0.029    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/enum.py:664(value)
      640    0.028    0.000    0.029    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/util.py:186(__init__)
   235072    0.028    0.000    0.028    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1922(_shape_dispatcher)
        1    0.000    0.000    0.028    0.028 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/overrides.py:1(<module>)
        1    0.000    0.000    0.027    0.027 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/random/__init__.py:1(<module>)
        1    0.000    0.000    0.027    0.027 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/nanops.py:1(<module>)
     9016    0.019    0.000    0.026    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/contextlib.py:482(__exit__)
        1    0.026    0.026    0.026    0.026 {built-in method mkl._py_mkl_service.get_version}
        1    0.000    0.000    0.026    0.026 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/random/_pickle.py:1(<module>)
        1    0.000    0.000    0.025    0.025 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/aggregation.py:1(<module>)
   163352    0.025    0.000    0.025    0.000 {method 'span' of 're.Match' objects}
        1    0.000    0.000    0.025    0.025 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/bottleneck/__init__.py:1(<module>)
   130437    0.024    0.000    0.024    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.024    0.004 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/ops/common.py:50(new_method)
        1    0.000    0.000    0.024    0.024 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/__init__.py:1(<module>)
        6    0.000    0.000    0.024    0.004 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/base.py:5598(_cmp_method)
     1280    0.024    0.000    0.024    0.000 {built-in method posix.pipe}
